Product Serie,Product Name,English Product Name,Product Page Link
F系列精密行星减速机,FL070系列精密行星减速机,FL070 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/1.html
F系列精密行星减速机,FX070系列精密行星减速机,FX070 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/2.html
F系列精密行星减速机,FG070系列精密行星减速机,FG070 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/3.html
F系列精密行星减速机,FH070系列精密行星减速机,FH070 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/4.html
K系列精密行星减速机,KPL 系列行星减速机,KPL Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/5.html
K系列精密行星减速机,KPLF 系列行星减速机,KPLF Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/6.html
K系列精密行星减速机,KPLS 系列行星减速机,KPLS Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/7.html
K系列精密行星减速机,KPLN 系列行星减速机,KPLN Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/8.html
K系列精密行星减速机,KPX 系列行星减速机,KPX Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/9.html
K系列精密行星减速机,KVX 系列行星减速机,KVX Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/10.html
K系列精密行星减速机,KPH 系列行星减速机,KPH Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/11.html
F系列精密行星减速机,FL090系列精密行星减速机,FL090 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/12.html
F系列精密行星减速机,FL120系列精密行星减速机,FL120 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/13.html
F系列精密行星减速机,FL160系列精密行星减速机,FL160 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/14.html
F系列精密行星减速机,FX090系列精密行星减速机,FX090 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/15.html
F系列精密行星减速机,FX120系列精密行星减速机,FX120 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/16.html
F系列精密行星减速机,FX160系列精密行星减速机,FX160 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/17.html
S系列行星减速机,SPL 系列行星减速机,SPL Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/18.html
S系列行星减速机,SPLF系列行星减速机,SPLF Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/19.html
S系列行星减速机,SPLN系列行星减速机,SPLN Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/20.html
S系列行星减速机,SPLS系列行星减速机,SPLS Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/21.html
S系列行星减速机,SPX系列行星减速机,SPX Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/22.html
S系列行星减速机,SVX系列行星减速机,SVX Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/23.html
S系列行星减速机,SPH系列行星减速机,SPH Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/24.html
W系列微型行星减速机,W8微型减速机,W8 Miniature Gear Reducer,https://www.kofon.com.cn/products_detail/25.html
W系列微型行星减速机,W10微型减速机,W10 Miniature Gear Reducer,https://www.kofon.com.cn/products_detail/26.html
W系列微型行星减速机,W12微型减速机,W12 Miniature Gear Reducer,https://www.kofon.com.cn/products_detail/27.html
W系列微型行星减速机,W16微型减速机,W16 Miniature Gear Reducer,https://www.kofon.com.cn/products_detail/28.html
KH系列高精度行星减速机,高精度行星减速机KH系列,KH Series High-Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/29.html
KVH系列直角盘式,行星减速机 KVH系列,KVH Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/30.html
KB(G)-HO系列谐波减速机,KB/KBG-HO系列谐波减速器,KB/KBG-HO Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/31.html
KB(G)-SO系列谐波减速机,KB/KBG-SO系列谐波减速器,KB/KBG-SO Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/32.html
KB(G)-MC系列谐波减速机,KB/KBG-MC系列谐波减速器,KB/KBG-MC Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/33.html
PWHZ回转专用行星减速,PWHZ回转专用行星减速机,PWHZ Slewing-Duty Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/34.html
PWJY系列行星减速机,PWJY系列行星减速机,PWJY Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/35.html
PWZD行星减速机,PWZD系列行星减速机,PWZD Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/36.html
工程机械用行星减速机,PWZQ轮毂专用行星减速机,PWZQ Wheel-Hub Dedicated Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/37.html
重载行走行星减速机,重载行走行星减速机PWZQ系列,PWZQ Series Heavy-Duty Travel Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/38.html
AGV舵轮及差速轮,AGV舵轮及差速轮,AGV Steering Wheel and Differential Wheel,https://www.kofon.com.cn/products_detail/39.html
AGV驱动轮,AGV驱动轮,AGV Drive Wheel,https://www.kofon.com.cn/products_detail/40.html
PWZQ轮毂专用行星减速机,PWZQ轮毂专用行星减速机(轻载),PWZQ Wheel-Hub Dedicated Planetary Gear Reducer (Light-Duty),https://www.kofon.com.cn/products_detail/41.html
PWZQ重载行走行星减速机,PWZQ重载行走行星减速机,PWZQ Heavy-Duty Travel Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/42.html
直联式电动缸,直联式电动缸,Inline Electric Cylinder,https://www.kofon.com.cn/products_detail/43.html
折返式电动缸,折返式电动缸,Folded Electric Cylinder,https://www.kofon.com.cn/products_detail/44.html
行星滚柱丝杠副,行星滚柱丝杠,Planetary Roller Screw,https://www.kofon.com.cn/products_detail/45.html
滚珠丝杠,行星滚珠丝杠,Planetary Ball Screw,https://www.kofon.com.cn/products_detail/46.html
F系列精密行星减速机,FH090系列精密行星减速机,FH090 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/47.html
F系列精密行星减速机,FH120系列精密行星减速机,FH120 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/48.html
F系列精密行星减速机,FH160系列精密行星减速机,FH160 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/49.html
F系列精密行星减速机,FG090系列精密行星减速机,FG090 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/50.html
F系列精密行星减速机,FG120系列精密行星减速机,FG120 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/51.html
F系列精密行星减速机,FG160系列精密行星减速机,FG160 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/52.html
高压伺服电机XAM系列,高压伺服电机XAM系列,XAM Series High-Voltage Servo Motor,https://www.kofon.com.cn/products_detail/53.html
紧凑型多轴一体伺服驱动RD系列,紧凑型多轴一体伺服驱动RD系列,RD Series Compact Multi-Axis Integrated Servo Drive,https://www.kofon.com.cn/products_detail/54.html
伺服一体驱动轮,伺服一体驱动轮,Integrated Servo Drive Wheel,https://www.kofon.com.cn/products_detail/55.html
R系列精密行星减速机,R060系列精密行星减速机,R060 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/56.html
R系列精密行星减速机,R080系列精密行星减速机,R080 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/57.html
R系列精密行星减速机,RF060系列精密行星减速机,RF060 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/58.html
R系列精密行星减速机,RF080系列精密行星减速机,RF080 Series Precision Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/59.html
K系列精密行星减速机,KGP 系列行星减速机,KGP Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/60.html
KT系列精密行星减速机,KTFL系列行星减速机,KTFL Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/61.html
KT系列精密行星减速机,KTFL1系列行星减速机,KTFL1 Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/62.html
KT系列精密行星减速机,KTFH系列行星减速机,KTFH Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/63.html
KT系列精密行星减速机,KTL系列行星减速机,KTL Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/64.html
KT系列精密行星减速机,KTR1系列行星减速机,KTR1 Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/65.html
KT系列精密行星减速机,KTC系列行星减速机,KTC Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/66.html
KT系列精密行星减速机,KTH系列行星减速机,KTH Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/67.html
KT系列精密行星减速机,KTL1系列行星减速机,KTL1 Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/68.html
KT系列精密行星减速机,KTFC系列行星减速机,KTFC Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/69.html
KT系列精密行星减速机,KTFR1系列行星减速机,KTFR1 Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/70.html
K系列精密行星减速机,PX 系列行星减速机,PX Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/71.html
K系列精密行星减速机,PW系列行星减速机,PW Series Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/72.html
KC/KCG-MC系列谐波减速器,KC/KCG-MC系列谐波减速器,KC/KCG-MC Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/73.html
KB/KBG-HF系列谐波减速器,KB/KBG-HF系列谐波减速器,KB/KBG-HF Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/74.html
KSB/KSBG-MO系列谐波减速器,KSB/KSBG-MO系列谐波减速器,KSB/KSBG-MO Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/75.html
8/11系列谐波减速器,8/11系列谐波减速器,8/11 Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/76.html
KCD-MC系列谐波减速器,KCD-MC系列谐波减速器,KCD-MC Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/77.html
KBD-MC系列谐波减速器,KBD-MC系列谐波减速器,KBD-MC Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/78.html
KSB/KSBG-HO系列谐波减速器,KSB/KSBG-HO系列谐波减速器,KSB/KSBG-HO Series Harmonic Gear Reducer,https://www.kofon.com.cn/products_detail/79.html
机电一体化产品,伺服直线关节模组,Servo Linear Joint Module,https://www.kofon.com.cn/products_detail/80.html
机电一体化产品,伺服行星关节模组,Servo Planetary Joint Module,https://www.kofon.com.cn/products_detail/81.html
行星减速机,通用型行星减速机R系列,R Series General-Purpose Planetary Gear Reducer,https://www.kofon.com.cn/products_detail/82.html
TL 偏置型拧紧机,柠紧机系列-TL045,Tightening Machine Series - TL045,https://www.kofon.com.cn/products_detail/83.html
行星减速机,手摇输入减速机KPX-S系列,KPX-S Series Hand-Crank Input Gear Reducer,https://www.kofon.com.cn/products_detail/84.html
行星减速机,双档减速机ZF-S系列,ZF-S Series Two-Speed Gear Reducer,https://www.kofon.com.cn/products_detail/85.html
行星减速机,准双曲面直角减速机K-R 系列,K-R Series Hypoid Right-Angle Gear Reducer,https://www.kofon.com.cn/products_detail/86.html
KR045-30,关节减速器KR045-30,KR045-30 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/87.html
KR060-22,关节模组KR060-22,KR060-22 Joint Module,https://www.kofon.com.cn/products_detail/88.html
KR070-25,关节模组KR070-25,KR070-25 Joint Module,https://www.kofon.com.cn/products_detail/89.html
KR080-19,关节模组KR080-19,KR080-19 Joint Module,https://www.kofon.com.cn/products_detail/90.html
KR090-25,关节模组KR090-25,KR090-25 Joint Module,https://www.kofon.com.cn/products_detail/91.html
KR090-25,关节减速器KR090-25,KR090-25 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/92.html
KR095-23,关节减速器KR095-23,KR095-23 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/93.html
KR110-23,关节减速器KR110-23,KR110-23 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/94.html
KR128-22,关节减速器KR128-22,KR128-22 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/95.html
TL 偏置型拧紧机,柠紧机系列-TL067,Tightening Machine Series - TL067,https://www.kofon.com.cn/products_detail/96.html
TL 偏置型拧紧机,柠紧机系列-TL054,Tightening Machine Series - TL054,https://www.kofon.com.cn/products_detail/97.html
TK型拧紧机,TK型拧紧机-标准外形尺寸,TK Type Tightening Machine - Standard Overall Dimensions,https://www.kofon.com.cn/products_detail/98.html
TKZ型拧紧机,TKZ型拧紧机-TKZ060,TKZ Type Tightening Machine - TKZ060,https://www.kofon.com.cn/products_detail/99.html
TKZ型拧紧机,TKZ型拧紧机-TKZ090,TKZ Type Tightening Machine - TKZ090,https://www.kofon.com.cn/products_detail/100.html
PL 型拧紧机,PL型拧紧机-PL032,PL Type Tightening Machine - PL032,https://www.kofon.com.cn/products_detail/101.html
PL 型拧紧机,PL型拧紧机-PL062,PL Type Tightening Machine - PL062,https://www.kofon.com.cn/products_detail/102.html
TKZ型拧紧机,TKZ型拧紧机-TKZ050,TKZ Type Tightening Machine - TKZ050,https://www.kofon.com.cn/products_detail/103.html
TKZ型拧紧机,TKZ型拧紧机-TKZ075,TKZ Type Tightening Machine - TKZ075,https://www.kofon.com.cn/products_detail/104.html
TKZ型拧紧机,TKZ型拧紧机-TKZ120,TKZ Type Tightening Machine - TKZ120,https://www.kofon.com.cn/products_detail/105.html
PL 型拧紧机,PL型拧紧机-PL050,PL Type Tightening Machine - PL050,https://www.kofon.com.cn/products_detail/106.html
准双曲面直角减速机K-R系列,KHR070 减速机,KHR070 Gear Reducer,https://www.kofon.com.cn/products_detail/107.html
准双曲面直角减速机K-R系列,KHR120 减速机,KHR120 Gear Reducer,https://www.kofon.com.cn/products_detail/108.html
准双曲面直角减速机K-R系列,KHR180 减速机,KHR180 Gear Reducer,https://www.kofon.com.cn/products_detail/109.html
准双曲面直角减速机K-R系列,KGR090 减速机,KGR090 Gear Reducer,https://www.kofon.com.cn/products_detail/110.html
准双曲面直角减速机K-R系列,KGR160 减速机,KGR160 Gear Reducer,https://www.kofon.com.cn/products_detail/111.html
双档减速机ZF-S系列,ZF-S 二段式行星齿轮变速箱,ZF-S Two-Stage Planetary Gearbox,https://www.kofon.com.cn/products_detail/112.html
手摇输入减速机KPX-S系列,KPX-ST085 手摇,KPX-ST085 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/113.html
手摇输入减速机KPX-S系列,KPX-ST065手摇,KPX-ST065 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/114.html
手摇输入减速机KPX-S系列,KPX-ST142 手摇,KPX-ST142 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/115.html
手摇输入减速机KPX-S系列,KPX-SY065 手摇,KPX-SY065 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/116.html
手摇输入减速机KPX-S系列,KPX-SY115 手摇,KPX-SY115 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/117.html
手摇输入减速机KPX-S系列,KPX-SY180 手摇,KPX-SY180 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/118.html
通用型行星减速机R系列,R080 减速机,R080 Gear Reducer,https://www.kofon.com.cn/products_detail/119.html
通用型行星减速机R系列,RF080 减速机,RF080 Gear Reducer,https://www.kofon.com.cn/products_detail/120.html
通用型行星减速机R系列,R060 减速机,R060 Gear Reducer,https://www.kofon.com.cn/products_detail/121.html
通用型行星减速机R系列,RF060 减速机,RF060 Gear Reducer,https://www.kofon.com.cn/products_detail/122.html
手摇输入减速机KPX-S系列,KPX-ST115 手摇,KPX-ST115 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/123.html
手摇输入减速机KPX-S系列,KPX-ST180 手摇,KPX-ST180 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/124.html
手摇输入减速机KPX-S系列,KPX-SY085 手摇,KPX-SY085 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/125.html
手摇输入减速机KPX-S系列,KPX-SY142 手摇,KPX-SY142 Hand-Crank Gear Reducer,https://www.kofon.com.cn/products_detail/126.html
准双曲面直角减速机K-R系列,KHR090 减速机,KHR090 Gear Reducer,https://www.kofon.com.cn/products_detail/127.html
准双曲面直角减速机K-R系列,KHR160 减速机,KHR160 Gear Reducer,https://www.kofon.com.cn/products_detail/128.html
准双曲面直角减速机K-R系列,KGR070 减速机,KGR070 Gear Reducer,https://www.kofon.com.cn/products_detail/129.html
准双曲面直角减速机K-R系列,KGR120 减速机,KGR120 Gear Reducer,https://www.kofon.com.cn/products_detail/130.html
准双曲面直角减速机K-R系列,KGR180 减速机,KGR180 Gear Reducer,https://www.kofon.com.cn/products_detail/131.html
KR045-30,关节模组KR045-30,KR045-30 Joint Module,https://www.kofon.com.cn/products_detail/1430473083887861760.html
KR060-22,关节减速器KR060-22,KR060-22 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/1430475026110025728.html
KR070-25,关节减速器KR070-25,KR070-25 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/1430475997913485312.html
KR080-19,关节减速器KR080-19,KR080-19 Joint Gear Reducer,https://www.kofon.com.cn/products_detail/1430477106942623744.html
KR095-23,关节模组KR095-23,KR095-23 Joint Module,https://www.kofon.com.cn/products_detail/1430478512256126976.html
KR110-23,关节模组KR110-23,KR110-23 Joint Module,https://www.kofon.com.cn/products_detail/1430479240102088704.html
KR128-22,关节模组KR128-22,KR128-22 Joint Module,https://www.kofon.com.cn/products_detail/1430480168641302528.html